Dependent Identifier,Dependent Version,Dependency Identifier,Dependency Version,Dependency Status,Relationship,Semantic Compatibility,Approval Reference
EAH-001,1.4,Enterprise Constitution,1.0,FROZEN,Constitutional authority,Compatible,DRR-001
EAH-001,1.4,RFC-010,1.0,FROZEN,Ontology boundary,Compatible,DRR-001
EAH-001,1.4,RFC-011,1.0,FROZEN,Immutable record currentness,Compatible,DRR-001
EAH-001,1.4,RFC-012,1.0,FROZEN,Constitutional reconciliation,Compatible,DRR-001
EAH-001,1.4,RFC-013,1.1,FROZEN,Governance boundary,Compatible,DRR-001
EAH-001,1.4,CAM-001,1.1,FROZEN,Canonical projection,Compatible,DRR-001
EAH-001,1.4,PMM-001,1.0,FROZEN,Persistence roles,Compatible,DRR-001
EAH-001,1.4,CDS-001,1.3,FROZEN,Engineering governance,Compatible,DRR-001
EAH-001,1.4,CDD Template,2.2,FROZEN,Work-order authorization,Compatible,DRR-001
RFC-010,1.0,Enterprise Constitution,1.0,FROZEN,Constitutional authority,Compatible,Architecture Registry v1.1 release decision
RFC-011,1.0,RFC-010,1.0,FROZEN,Canonical boundary,Compatible,Architecture Registry v1.1 release decision
RFC-012,1.0,Enterprise Constitution,1.0,FROZEN,Constitutional authority,Compatible,Architecture Registry v1.1 release decision
RFC-013,1.1,RFC-010,1.0,FROZEN,Canonical boundary,Compatible,DRR-001
RFC-013,1.1,RFC-011,1.0,FROZEN,Immutable record currentness,Compatible,DRR-001
RFC-013,1.1,RFC-012,1.0,FROZEN,Constitutional reconciliation,Compatible,DRR-001
RFC-013,1.1,CAM-001,1.1,FROZEN,Projection boundary,Compatible,DRR-001
RFC-013,1.1,AEM-001,1.1,FROZEN,Acceptance Evidence semantics,Compatible,DRR-001
RFC-013,1.1,KRM-001,1.4,FROZEN,Knowledge semantics,Compatible,DRR-001
RFC-013,1.1,DRM-001,1.2,FROZEN,Decision semantics,Compatible,DRR-001
RFC-013,1.1,GEM-001,1.1,FROZEN,Exception Authorization semantics,Compatible,DRR-001
RFC-013,1.1,GRM-001,1.2,FROZEN,Governance Evaluation semantics,Compatible,DRR-001
CAM-001,1.1,ERM-001,2.2,FROZEN,Identity outcome projection,Compatible,DRR-001
CAM-001,1.1,SRM-001,2.2,FROZEN,Semantic outcome projection,Compatible,DRR-001
CAM-001,1.1,ASM-001,2.2,FROZEN,Assertion outcome projection,Compatible,DRR-001
CAM-001,1.1,AEM-001,1.1,FROZEN,Acceptance Evidence contract,Compatible,DRR-001
CAM-001,1.1,KRM-001,1.4,FROZEN,Knowledge outcome projection,Compatible,DRR-001
CAM-001,1.1,DRM-001,1.2,FROZEN,Decision outcome projection,Compatible,DRR-001
CAM-001,1.1,GEM-001,1.1,FROZEN,Exception Authorization contract,Compatible,DRR-001
CAM-001,1.1,GRM-001,1.2,FROZEN,Governance outcome projection,Compatible,DRR-001
CAM-001,1.1,EIC-001,1.2,FROZEN,Runtime separation,Compatible,DRR-001
CAM-001,1.1,EOM-001,1.2,FROZEN,Runtime separation,Compatible,DRR-001
CAM-001,1.1,ESM-001,1.2,FROZEN,Runtime separation,Compatible,DRR-001
CAM-001,1.1,PAD-001,1.4,FROZEN,Product access boundary,Compatible,DRR-001
PMM-001,1.0,ECOM Physical Data Model,1.3,FROZEN,Schema authority,Compatible,Architecture Registry v1.1 release decision
PMM-001,1.0,RFC-011,1.0,FROZEN,Projection currentness,Compatible,Architecture Registry v1.1 release decision
PMM-001,1.0,CDS-001,1.3,FROZEN,Implementation governance,Compatible,Architecture Registry v1.1 release decision
SRM-001,2.2,ERM-001,2.2,FROZEN,Resolved identity input,Compatible,DRR-001
ASM-001,2.2,ERM-001,2.2,FROZEN,Resolved identity prerequisite,Compatible,DRR-001
ASM-001,2.2,SRM-001,2.2,FROZEN,Resolved semantics prerequisite,Compatible,DRR-001
AEM-001,1.1,RFC-013,1.1,FROZEN,Governance Authority boundary,Compatible,DRR-001
KRM-001,1.4,ERM-001,2.2,FROZEN,Identity provenance,Compatible,DRR-001
KRM-001,1.4,SRM-001,2.2,FROZEN,Semantic provenance,Compatible,DRR-001
KRM-001,1.4,ASM-001,2.2,FROZEN,Assertion input,Compatible,DRR-001
KRM-001,1.4,AEM-001,1.1,FROZEN,Acceptance Evidence input,Compatible,DRR-001
KRM-001,1.4,RFC-013,1.1,FROZEN,Governance Authority boundary,Compatible,DRR-001
DRM-001,1.2,KRM-001,1.4,FROZEN,Institutional Knowledge input,Compatible,DRR-001
DRM-001,1.2,RFC-011,1.0,FROZEN,External currentness,Compatible,DRR-001
GEM-001,1.1,AEM-001,1.1,FROZEN,Cross-cutting evidence pattern,Compatible,DRR-001
GEM-001,1.1,RFC-013,1.1,FROZEN,Governance Authority boundary,Compatible,DRR-001
GRM-001,1.2,ERM-001,2.2,FROZEN,Governed resolution record,Compatible,DRR-001
GRM-001,1.2,SRM-001,2.2,FROZEN,Governed semantic record,Compatible,DRR-001
GRM-001,1.2,ASM-001,2.2,FROZEN,Governed assertion record,Compatible,DRR-001
GRM-001,1.2,KRM-001,1.4,FROZEN,Governed knowledge record,Compatible,DRR-001
GRM-001,1.2,DRM-001,1.2,FROZEN,Governed decision record,Compatible,DRR-001
GRM-001,1.2,GEM-001,1.1,FROZEN,Exception Authorization input,Compatible,DRR-001
GRM-001,1.2,RFC-011,1.0,FROZEN,External currentness,Compatible,DRR-001
GRM-001,1.2,RFC-013,1.1,FROZEN,Governance Authority separation,Compatible,DRR-001
EIC-001,1.2,EOM-001,1.2,FROZEN,Admission handoff,Compatible,DRR-001
EIC-001,1.2,ESM-001,1.2,FROZEN,Accepted execution state,Compatible,DRR-001
EIC-001,1.2,PAD-001,1.4,FROZEN,Invocation protocol,Compatible,DRR-001
EOM-001,1.2,EIC-001,1.2,FROZEN,Admission handoff,Compatible,DRR-001
EOM-001,1.2,ESM-001,1.2,FROZEN,Execution-state ownership,Compatible,DRR-001
ESM-001,1.2,EIC-001,1.2,FROZEN,Pre-execution rejection boundary,Compatible,DRR-001
ESM-001,1.2,EOM-001,1.2,FROZEN,Execution coordination,Compatible,DRR-001
ESM-001,1.2,PAD-001,1.4,FROZEN,Execution observation protocol,Compatible,DRR-001
PAD-001,1.4,EIC-001,1.2,FROZEN,Invocation boundary,Compatible,DRR-001
PAD-001,1.4,EOM-001,1.2,FROZEN,Orchestration boundary,Compatible,DRR-001
PAD-001,1.4,ESM-001,1.2,FROZEN,Execution-state boundary,Compatible,DRR-001
PAD-001,1.4,ERM-001,2.2,FROZEN,Identity semantics traceability,Compatible,DRR-001
PAD-001,1.4,SRM-001,2.2,FROZEN,Semantic Resolution traceability,Compatible,DRR-001
PAD-001,1.4,ASM-001,2.2,FROZEN,Assertion traceability,Compatible,DRR-001
PAD-001,1.4,AEM-001,1.1,FROZEN,Acceptance Evidence traceability,Compatible,DRR-001
PAD-001,1.4,KRM-001,1.4,FROZEN,Knowledge traceability,Compatible,DRR-001
PAD-001,1.4,DRM-001,1.2,FROZEN,Decision traceability,Compatible,DRR-001
PAD-001,1.4,GEM-001,1.1,FROZEN,Exception Authorization traceability,Compatible,DRR-001
PAD-001,1.4,GRM-001,1.2,FROZEN,Governance traceability,Compatible,DRR-001
CDD Template,2.2,CDS-001,1.3,FROZEN,CDD authorization governance,Compatible,Architecture Registry v1.1 release decision
